timestamp,user_id,search_query,browser,os,referrer
2025-06-02 08:25:39,user_205,weather tomorrow,Firefox,MacOS,email
2025-06-02 05:51:13,user_4468,best pizza near me,Opera,Android,direct
2025-06-01 08:40:44,user_768,news today,Firefox,iOS,organic
2025-06-01 07:43:44,user_4598,news today,Opera,Android,email
2025-06-06 10:50:29,user_4828,weather tomorrow,Chrome,MacOS,ad
2025-06-05 03:06:18,user_2277,python mapreduce tutorial,Firefox,Linux,direct
2025-06-02 03:00:51,user_3113,best pizza near me,Safari,Linux,organic
2025-06-04 05:02:50,user_356,how to train a dog,Opera,Windows,ad
2025-06-01 22:57:07,user_4523,weather tomorrow,Opera,Linux,organic
2025-06-03 08:00:29,user_570,buy shoes online,Firefox,Linux,direct
2025-06-03 19:48:18,user_828,hadoop vs spark,Safari,Android,social
2025-06-02 23:22:35,user_3033,flights to new york,Firefox,Linux,direct
2025-06-03 01:50:51,user_4376,news today,Firefox,Android,ad
2025-06-04 06:37:40,user_4563,news today,Safari,Windows,email
2025-06-01 09:20:59,user_2585,hadoop vs spark,Safari,Windows,email
2025-06-07 21:12:11,user_2578,news today,Edge,Android,ad
2025-06-02 17:36:51,user_2170,python mapreduce tutorial,Firefox,iOS,organic
2025-06-04 04:31:44,user_4789,hadoop vs spark,Opera,Android,social
2025-06-03 15:52:54,user_1134,machine learning course,Edge,Windows,direct
2025-06-02 07:56:15,user_1253,python mapreduce tutorial,Edge,iOS,direct
2025-06-05 16:04:17,user_3127,data science jobs,Edge,iOS,social
2025-06-07 17:08:19,user_95,best pizza near me,Opera,Linux,social
2025-06-02 08:29:30,user_2405,hadoop vs spark,Firefox,Android,direct
2025-06-04 04:43:03,user_4101,python mapreduce tutorial,Opera,Windows,social
2025-06-07 03:52:03,user_4989,news today,Firefox,Linux,email
2025-06-07 13:06:19,user_4345,buy shoes online,Opera,Linux,ad
2025-06-01 05:40:22,user_917,flights to new york,Safari,MacOS,direct
2025-06-03 22:09:32,user_4648,best pizza near me,Chrome,Android,direct
2025-06-07 11:09:42,user_1031,python mapreduce tutorial,Edge,iOS,email
2025-06-04 05:12:12,user_4323,data science jobs,Edge,MacOS,organic
2025-06-03 10:35:22,user_2554,hadoop vs spark,Safari,Android,organic
2025-06-06 11:30:17,user_992,news today,Firefox,Windows,social
2025-06-01 06:07:36,user_4820,machine learning course,Firefox,iOS,email
2025-06-01 02:05:40,user_582,buy shoes online,Firefox,Windows,direct
2025-06-05 00:14:39,user_581,machine learning course,Firefox,Linux,ad
2025-06-03 14:24:03,user_4418,python mapreduce tutorial,Opera,iOS,ad
2025-06-03 22:46:41,user_3875,hadoop vs spark,Firefox,Windows,direct
2025-06-06 05:33:09,user_2903,hadoop vs spark,Edge,Android,direct
2025-06-02 04:39:58,user_497,hadoop vs spark,Safari,Windows,email
2025-06-03 07:48:16,user_1559,machine learning course,Edge,MacOS,ad
2025-06-03 05:26:41,user_2282,how to train a dog,Firefox,Windows,ad
